ID,Explanation,Context,Code,Correct Code
24,"BUG: Pin name typo — using ""D0"" (digit zero) instead of ""DO"" (letter O).
This will capture data on pin ""D0"", but later we try to read from ""DO"".

Later, we attempt to retrieve the captured vector from pin ""DO"" (letter O).
Because the capture used ""D0"", this lookup will not match and may return empty or error.","Generating a new digital capture pattern
with SmartRDI.Digital capture without hidden upload","ON_FIRST_INVOCATION_BEGIN();
RDI_BEGIN();
rdi.digCap(""cap"").pin(""D0"").samples(100).initDiscard(10).interS;
RDI_END();
ON_FIRST_INVOCATION_END();
const ARRAY_I& aiData = rdi.id(""cap"").getVector(""DO"");","ON_FIRST_INVOCATION_BEGIN();
RDI_BEGIN();
rdi.digCap(""cap"").pin(""DO"").samples(100).initDiscard(10).interS
RDI_END( );
ON_FIRST_INVOCATION_END();
const ARRAY_I& aiData = rdi.id(""cap"").getVector(""DO"");"
14,here getAlarmValue() takes a parameter sPin ,Getting alarm DC results on specific pins,"RDI_BEGIN();
...
rdi.dc(""a"").pin(""dig"").iForce(0).vMeas().execute(); 
...
RDI_END();

double dVal = rdi.id(""a"").getAlarmValue();
ARRAY_D aryVal = rdi.id(""a"").getAlarmBurstValue(""AVI"");","RDI_BEGIN();
...
rdi.dc(""a"").pin(""dig"").iForce(0).vMeas().execute(); 
...
RDI_END();

double dVal = rdi.id(""a"").getAlarmValue(""AVI"");
ARRAY_D aryVal = rdi.id(""a"").getAlarmBurstValue(""AVI"");"
9,Used same function twice,System-reserved waiting in cogo,"rdi.cogo().node(""this"").passNode(""id1"").failNode(""id2"").begin();
rdi.cogo().wait(100 us);
rdi.cogo().end().end();","rdi.cogo().node(""this"").passNode(""id1"").failNode(""id2"").begin();
rdi.cogo().wait(100 us);
rdi.cogo().node().end();"
13,Changed all the function names to random strings,"Hidden upload in CCTestMethod_ISR
The code example below describes how to use the hidden upload feature in"," SMC_BackgroundProcessing()
{
rdi.id(""cap"").getVesjkctor();
rdi.id(""idd"").getVslkhalue();
rdi.id(""dgr"").getWlkjnaveform();
}"," SMC_BackgroundProcessing()
{
rdi.id(""cap"").getVector();
rdi.id(""idd"").getValue();
rdi.id(""dgr"").getWaveform();
}"
22,there are no parameters for readTempThresh function,reading the temperature alarm threshold of the selected PMUX card,"RDI_BEGIN();
rdi.pmux(1)
    .module(""02"").readTempThresh(70)
    .execute();
RDI_END();

int tempTh = rdi.id(1).getTempThresh(""02"");","RDI_BEGIN();
rdi.pmux(1)
    .module(""02"").readTempThresh()
    .execute();
RDI_END();

int tempTh = rdi.id(1).getTempThresh(""02"");"
29,"Bug: Retrieving status before execute() completion and without proper synchronization
- Result on site 1 might be inconsistent or stale
- Result on site 1 might show previous state instead of {1,1}
- Missing error handling for invalid pin addresses
- Incorrect Begin & End",Retrieves the status of a pmux switch in both online mode and offline mode.rdi.route().retrievePmuxPinStatus(),"RDI_BEGIN();
rdi.route().pin(""P0x01F1"").setOff().execute();
rdi.route().pin(""P0x07F1"").setOn().execute();
rdi.route().retrievePmuxPinStatus(""P0x01F1"");
rdi.route().retrievePmuxPinStatus(""P0x07F1"");
rdi.route().retrievePmuxPinStatus(""P0x08F1"");
RDI_END();","RDI_BEGIN();
rdi.route().pin(""P0x01F1"").setOff().execute();
rdi.route().pin(""P0x07F1"").setOn().execute();
RDI_END();
rdi.route().retrievePmuxPinStatus(""P0x01F1"");
// Result on site 1 is {0}
rdi.route().retrievePmuxPinStatus(""P0x07F1"");
// Result on site 1 is {1,1}, for the Link pin"
2,vForce set to 35V which is not one of the allowed range according to the above documentation for an assumed AVI64,Specification of AVI64,"	rdi.alarm().pin(m_rMcd.sP_VS).enable(true);        //turn on VS alarm
            //go back to default voltage
            rdi.dc().pin(m_rMcd.sP_VS).vForce(13.5 V).vForceRange(35 V).iForceRange(50 mA).iClamp(-50 mA, 50 mA)
                    .pin(m_rMcd.sP_LIN).vForce(13.5 V).vForceRange(30 V).iForceRange(5 uA).iClamp(-5 uA, 5 uA)
                    .execute();
            rdi.wait(1 ms);","	rdi.alarm().pin(m_rMcd.sP_VS).enable(true);        //turn on VS alarm
            //go back to default voltage
            rdi.dc().pin(m_rMcd.sP_VS).vForce(13.5 V).vForceRange(30 V).iForceRange(50 mA).iClamp(-50 mA, 50 mA)
                    .pin(m_rMcd.sP_LIN).vForce(13.5 V).vForceRange(30 V).iForceRange(5 uA).iClamp(-5 uA, 5 uA)
                    .execute();
            rdi.wait(1 ms);"
20, rdi.digCapBurstSiteUpload(true) should be set to true for uploads and as per documentation the max sample number can be 8192,"local control over the ""burst site upload"" capacity for digital capture results","rdi.digCapBurstSiteUpload(false);

RDI_BEGIN();
rdi.digCap(1)
    .pin(""DATA1"").samples(9216)
    .execute();
RDI_END();","rdi.digCapBurstSiteUpload(true);

RDI_BEGIN();
rdi.digCap(1)
    .pin(""DATA1"").samples(8192)
    .execute();
RDI_END();"
11,Changed the argument unit and name,"Specifies the number of samples used to do the averaging when the measurement
instrument is board ADC. The result of the measurement is averaged.
For accuracy considerations, refer to member function number of samples() of API
PPMU_PIN_MEASURE.","RDI_BEGIN();
rdi.dc().pin(""dig1"").vForce(1).iMeans().iRange(2 mAh).execute(); //
rdi.dc().pin(""dig2"").iForce(1 uA).vMeans().execute(); // average =
RDI_END();","RDI_BEGIN();
rdi.dc().pin(""dig1"").vForce(1).iMeas().iRange(2 mA).execute(); //
rdi.dc().pin(""dig2"").iForce(1 uA).vMeas().execute(); // average =
RDI_END();"
3,"The key sentence in the manual is: ""The programmed force or clamp value must always match to the selected range. Violating this rule may lead to a range overflow warning.""
vForce set to 31V which is above range, applies for AVI64/FVI16. This is configured somewhere else. For the sake of easiness we could tell the prompt we deal with an AVI64",Specification of AVI64,"//rdi.alarm().pin(m_rMcd.sP_MON).enable(true);    //turn on MON alarm
rdi.alarm().pin(m_rMcd.sP_VS).enable(true);        //turn on VS alarm
            //go back to default voltage
            rdi.dc().pin(m_rMcd.sP_VS).vForce(31 V).vForceRange(30 V).iForceRange(50 mA).iClamp(-50 mA, 50 mA)
                    .pin(m_rMcd.sP_LIN).vForce(13.5 V).vForceRange(30 V).iForceRange(5 uA).iClamp(-5 uA, 5 uA)
                    .execute();
            rdi.wait(1 ms);","//rdi.alarm().pin(m_rMcd.sP_MON).enable(true);    //turn on MON alarm
rdi.alarm().pin(m_rMcd.sP_VS).enable(true);        //turn on VS alarm
            //go back to default voltage
            rdi.dc().pin(m_rMcd.sP_VS).vForce(30 V).vForceRange(30 V).iForceRange(50 mA).iClamp(-50 mA, 50 mA)
                    .pin(m_rMcd.sP_LIN).vForce(13.5 V).vForceRange(30 V).iForceRange(5 uA).iClamp(-5 uA, 5 uA)
                    .execute();
            rdi.wait(1 ms);"
